method,sim,k,rmse_mean,rmse_std,mae_mean,mae_std
user,cosine,5,1.0439543057787255,0.003696877082731221,0.8050195864997323,0.004051813359772603
item,cosine,5,1.1009249310548883,0.0052580564933469385,0.8596058028123987,0.0035028388933158387
user,cosine,10,1.009121885052106,0.002809105502490801,0.7771250108333533,0.0033547580720841596
item,cosine,10,1.0507675827242777,0.007455352225978299,0.8211930352063124,0.005062918394996995
user,cosine,20,0.9966401041015308,0.002830138166492209,0.7681900733896438,0.003519352846514752
item,cosine,20,1.017125910223459,0.005997127778544626,0.794074511126711,0.004983255018211237
user,cosine,40,0.9931497533264565,0.002465759414175834,0.767112764950549,0.0032373202845523493
item,cosine,40,0.9950999217718216,0.0063764275393259524,0.774791925501196,0.005192046236441351
user,cosine,80,0.9937106710068347,0.0022281029755764374,0.7693388922610438,0.0030795877642078324
item,cosine,80,0.9807769218176622,0.006256547123521104,0.7623082775083513,0.005580776405889956
